ucid,BVALL,BVNR,pop100m,buildup100,Worldpop,gdp_new2
7361,3130350,0,60671.9225,0.477315,9065.78302,165948173
7362,24037967,0,245633.6896,3.606282,61898.81079,559021995.9
7363,1380178,0,38123.95836,0.399711,34132.30304,9634239.5
7364,8131498,1987865,66305.67639,1.302704,43900.05029,131146644.7
7365,29331670,222776,306027.4496,4.067771,143006.8602,942487942.2
7366,3024286,2401,71984.38436,1.045823,44658.37032,356509076.5
7367,2303881,0,38433.71647,0.544915,7661.160675,4878053.625
7368,18191196,87866,62298.36152,2.40342,45103.9588,234011748.8
7369,3227467,0,72577.80165,0.5763,19679.19946,128215431
7370,2876815,0,91814.86744,0.536461,27090.05774,578321199.8
7371,7981609,0,128383.4437,0.989304,25231.65283,116878336
7372,11351122,404346,133161.0437,1.735002,44334.78229,284639798.3
7373,4934280,895353,53530.81862,0.855948,21537.15027,170235985.8
7374,5413157,0,70930.91204,0.991222,24492.51672,89136656.53
7375,2967507,0,39260.38328,0.61985,12669.83179,40835127.95
7376,22831712,669170,435655.0196,3.434149,127231.9023,2579880088
7377,2016552,19032,30836.49589,0.429713,9231.575653,64264093.34
7378,2823550,35245,65891.52846,0.758446,29123.64903,134935427.8
7379,2728424,238296,36574.61489,0.600678,23159.11316,13097331.7
7380,3470591,73125,45131.21462,0.658972,9771.095764,105330630.5
7381,3406046,18105,63190.95062,0.597435,11816.85693,912880812.8
7382,2841801,228,54717.36046,0.395916,6484.933899,57013876
7383,3630758,0,59807.84326,0.573435,17646.78613,439618065.5
7384,50303772,2467304,410388.1544,6.791948,186159.1604,3011060828
7385,5358453,0,55199.98591,1.012681,12255.67398,177739372.3
7386,8143693,2172,82045.08003,0.846223,14247.45172,52496825.06
7387,200247516,329801,1440280.888,22.178718,795618.4288,4925910652
7388,885876,0,19958.92328,0.196997,3699.256714,9963854
7389,5441579,31841,60425.84152,0.818948,11567.14667,268791815.3
7390,1679687,0,20006.86711,0.379354,7043.816589,49590565.5
7391,77745068,209265,397316.79,9.656778,170182.6873,565747409.9
7392,71473791,18610978,323518.8388,8.81253,206634.6658,1087174040
7393,12500079,6946,128380.756,1.949789,48813.98431,695268911.5
7394,2916398,6615,45021.43668,0.616738,13857.07529,81373427
7395,3329813,92013,64397.01369,0.738891,29027.45984,117145479.2
7396,2939646,0,40573.47139,0.399429,4467.019287,23176512
7397,2877592,47436,53421.76207,0.60616,16787.68829,63922800
7398,2734870,0,25319.19801,0.498408,4149.646912,103572892
7399,7206542,0,79171.04631,1.225753,25826.65057,633441154.9
7400,4188712,0,39418.32143,0.844341,8195.244507,334329214.1
7401,21407699,0,164925.1766,3.269743,56402.85345,990425580.6
7402,5341020,23007,92677.48466,0.960637,20204.96509,128080912.5
7403,1933797,0,43486.34244,0.37752,11237.32977,178493804.5
7404,4534757,0,110922.3142,0.679929,25172.36353,254236153.5
7405,5630293,0,57064.00735,0.867047,11187.32498,136454786.9
7406,19012843,94915,299549.2983,2.658215,105180.6304,638269699
7407,2662775,0,52960.26882,0.481564,12153.63733,13826981.63
7408,2284094,18182,33647.49678,0.486099,3995.016022,29625607.56
7409,11277628,0,118112.5174,2.181034,58188.21002,536469488.3
7410,7218512,0,124789.1174,1.158026,29309.76886,1013788243
7411,1204650,0,35070.83878,0.211321,6253.884644,22007820.56
7412,11500104,6829766,61983.62091,1.875477,39543.22443,237106179.7
7413,8865747,3536120,65919.46856,1.242994,32924.98242,145739380.3
7414,23279113,9163,190481.9264,2.624719,39274.91553,1761596855
7415,4664732,0,46447.97227,0.850722,8030.216751,90579096
7416,18859797,230965,169627.0735,2.682711,62511.41907,509276728
7417,41053115,135544,313088.672,5.246647,117624.2104,2118988027
7418,6492262,0,122866.2381,1.05384,28292.12878,210326462.4
7419,1745733,0,27077.725,0.264969,4207.116302,108739455.9
