areaID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_5km_b,detour_10km_b,detour_10km_nb,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,nonconvexity_Mcircle,Mcircle_radius,nonconvexity_40km
89,0.00022445,0.000100254,7.47E-05,9.90E-05,7.47E-05,9.90E-05,0.662625994,0.662625994,0.570779319,0.570779319,0.002606635,0.002606635,0.021990877,0.021990877,0.004741669,26.95231019,0.008399963
90,0,0,5.58E-05,3.90E-05,5.58E-05,3.90E-05,0.637194711,0.637194711,0.675885965,0.675885965,0.027339423,0.027339423,0.044670114,0.044670114,0.027389526,3.969669299,0.032501221
91,0,0,0.019900229,0.003411834,0.019900229,0.003411834,0.739511,0.739511,0.75746183,0.75746183,0.000177394,0.000177394,0.002841548,0.002841548,0.00131321,8.238187418,0.100036621
92,0.033847804,0.005354757,0.031072587,0.025683917,0.031072587,0.025683917,0.785839271,0.785839271,0.680389727,0.680389727,0.025124161,0.025124161,0.027035449,0.027035449,0.023452759,16.99146428,0.015899658
93,0,0,0.00149436,0.000729327,0.00149436,0.000729327,0.686328623,0.686328623,0.816750118,0.816750118,0.001065987,0.001065987,0.002099394,0.002099394,0.001974106,13.44789752,0.003152847
94,0,0,7.59E-05,2.29E-05,7.59E-05,2.29E-05,0.720893462,0.720893462,0.639245363,0.639245363,0.067032635,0.067032635,0.208518673,0.208518673,0.0284729,34.45780119,0.073486328
95,0.046965134,0.032554224,0.026593171,0.030015878,0.026593171,0.030015878,0.728891545,0.728891545,0.536217264,0.536217264,0.011802608,0.011802608,0.011691939,0.011691939,0.013717651,33.6692232,0.012680054
96,0,0,2.63E-05,1.34E-05,2.63E-05,1.34E-05,0.52764746,0.52764746,0.446522132,0.446522132,0.042996142,0.043203305,0.157921866,0.171337861,0.096862793,81.64146953,0.037780762
97,0.125742123,0.019340184,0.38675953,0.157367662,0.38675953,0.157367662,0.61084205,0.61084205,0.958511809,0.958511809,0.196504906,0.196504906,0.505262495,0.505262495,0.16809082,27.39544913,0.10357666
98,0.050857689,0.006437507,0.169305878,0.038598802,0.169305878,0.038598802,0.447187053,0.447187053,0.407138471,0.407138471,0.104202174,0.104202174,0.277522091,0.277522091,0.12286377,29.88386743,0.084228516
99,0.002218891,0.000880558,0.049207402,0.023419403,0.049207402,0.023419403,0.46900868,0.46900868,0.451338001,0.451338001,0.046156023,0.046156023,0.104173709,0.104173709,0.081970215,35.07996694,0.145019531
100,0.009101651,0.004127176,0.06267128,0.019401079,0.06267128,0.019401079,0.439454517,0.439454517,0.458539693,0.458539693,0.093797594,0.093797594,0.207510785,0.207510785,0.155273438,44.54981152,0.091796875
101,0.000177942,0.000327501,0.005411977,0.002373596,0.005411977,0.002373596,0.328559247,0.328559247,0.353650015,0.353650015,0.120424211,0.120424211,0.260043113,0.260043113,0.098999023,86.79455454,0.022964478
102,0.049610535,0.039920542,0.079582559,0.055507183,0.079582559,0.055507183,0.673633246,0.673633246,0.743527093,0.743527093,0.050560713,0.050560713,0.062196974,0.062196974,0.072937012,18.85467212,0.094360352
103,0,0,1.00E-05,0,1.00E-05,0,0.518703974,0.518703974,0.496933317,0.496933317,0.001512161,0.001512161,0.003667961,0.003667961,0.002887726,29.68046625,0.004249573
104,0.034519882,0.003197431,0.102080798,0.031969476,0.102080798,0.031969476,0.673462302,0.673462302,0.685579031,0.685579031,0.042194244,0.042194244,0.109085558,0.109085558,0.060272217,10.23519094,0.026412964
105,0.046803282,0.038906131,0.073611163,0.046769682,0.073611163,0.046769682,0.794929001,0.794929001,0.688489936,0.688489936,0.051066417,0.051066417,0.06404146,0.06404146,0.047210693,18.67389056,0.028656006
106,0.000372738,0.000312277,0.099776561,0.034292899,0.099776561,0.034292899,0.802705371,0.802705371,0.750156615,0.750156615,0.108689666,0.108689666,0.148818175,0.148818175,0.110046387,24.14127811,0.167114258
107,0.005601267,0.003419011,0.055130799,0.028743789,0.055130799,0.028743789,1.263690352,1.263690352,1.031122995,1.031122995,0.047038052,0.047038052,0.057353682,0.057353682,0.03729248,11.35161248,0.058349609
108,0.048152113,0.006396275,0.047667752,0.045624603,0.047667752,0.045624603,0.60598808,0.60598808,0.628663491,0.628663491,0.039574243,0.039574243,0.036906264,0.036906264,0.052215576,16.98666317,0.022537231
109,0,0,0.013636185,0.009388593,0.069560813,0.010118742,0.7755211,0.7755211,0.604235271,0.656610769,0.018344315,0.020990303,0.110843429,0.313513861,0.025680542,20.32411113,0.076843262
110,0,0,0.000816482,0.000881123,0.000816482,0.000881123,0.573643538,0.573643538,0.423309016,0.423309016,0.042897768,0.042897768,0.057454766,0.057454766,0.040313721,25.07232631,0.061004639
111,0.01049092,0.005522158,0.021928049,0.013983218,0.021928049,0.013983218,0.475750039,0.475750039,0.467024761,0.467024761,0.035709627,0.035709627,0.05012071,0.05012071,0.024307251,44.45160363,0.032226563
112,0.001063356,0.000969283,0.023000932,0.011798637,0.023000932,0.011798637,0.409304889,0.409304889,0.467718595,0.467718595,0.018151738,0.018151738,0.026752209,0.026752209,0.011077881,13.36106531,0.028106689
113,0.014202471,0.018998828,0.009215705,0.011779543,0.140209697,0.012589439,0.582552802,0.582552802,0.583447486,0.56027397,0.022104461,0.020493716,0.020957537,0.12608484,0.013435364,14.99042755,0.006210327
114,0.003623877,0.000854302,0.027327596,0.013066903,0.027327596,0.013066903,0.55340109,0.55340109,0.537796918,0.537796918,0.024706123,0.024706123,0.023550302,0.023550302,0.023147583,25.00241089,0.016113281
115,0,0,9.06E-05,0.000109778,9.06E-05,0.000109778,0.502316214,0.502316214,0.44247649,0.44247649,0.000337613,0.000337613,0.000755171,0.000755171,0.000333309,16.10670985,0.002601624
116,0.037637548,0.000862335,0.135849765,0.041642621,0.135849765,0.041642621,0.583138427,0.583138427,0.855593021,0.855593021,0.060164325,0.060164325,0.146640998,0.146640998,0.066894531,19.52653887,0.047729492
117,0.342576725,0.114482015,0.449733388,0.142368346,0.449733388,0.142368346,0.687915931,0.687915931,0.910883117,0.910883117,0.117445327,0.117445327,0.343420949,0.343420949,0.046783447,4.074394812,0.218261719
118,0.23922595,0.065084308,0.381217243,0.229605466,0.381217243,0.229605466,0.811043383,0.811043383,0.949487866,0.949487866,0.098828442,0.098828442,0.278813057,0.278813057,0.091796875,5.268863522,0.490966797
119,0.02750596,0.016234711,0.016024822,0.018871484,0.016024822,0.018871484,0.769032684,0.769032684,0.794717218,0.794717218,0.037477124,0.037477124,0.036642177,0.036642177,0.035125732,8.366324099,0.032867432
120,0.012301542,0.001128845,0.170157033,0.043162383,0.170157033,0.043162383,0.478440995,0.478440995,0.527971548,0.527971548,0.122823402,0.122823402,0.307504948,0.307504948,0.213989258,26.59217066,0.151733398
121,0.000145595,0.000180624,0.001293548,0.000780104,0.001293548,0.000780104,0.514772629,0.514772629,0.680929423,0.680929423,0,0,0.000247687,0.000247687,0,4.218133203,0.02935791
