GHUB_ID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,detour_40km_b,share_barrier_40km_b,nonconvexity_40km_b
4568,0.01710109,0.011215273,0.087581387,0.041574035,0.129030281,0.046186559,0.087581387,0.041574035,1.031223425,1.013295728,1.031223425,1.013295728,0.004476486,0.004476486,0.017328016,0.017328016,,,
4569,0.069908961,0.016335264,0.143798479,0.072530866,0.069908961,0.016335264,0.143798479,0.072530866,0.971626211,0.948933081,0.971626211,0.948933081,0.005450128,0.005450128,0.011639277,0.011639277,,,
4570,0.088959419,0.04016709,0.046607701,0.050847098,0.088959419,0.04016709,0.046607701,0.050847098,1.091190155,1.341768771,1.091190155,1.341768771,0.007946422,0.007946422,0.024410906,0.024410906,,,
4571,0.011684948,0.007611166,0.059188667,0.027558833,0.011684948,0.007611166,0.059188667,0.027558833,0.879572417,0.831075152,0.879572417,0.831075152,0.006063304,0.006063304,0.009086455,0.009086455,,,
4573,0.215601522,0.178832412,0.141916197,0.137273654,0.010543604,0.003951195,0.141916197,0.137273654,1.828650897,1.814422004,1.828650897,1.814422004,0.181460366,0.181460366,0.214942061,0.214942061,,,
4574,0.114276177,0.033356909,0.180149374,0.096810721,0.114276177,0.033356909,0.180149374,0.096810721,0.708696866,0.744429164,0.708696866,0.744429164,0.026689451,0.026689451,0.053427697,0.053427697,,,
4575,0.060800745,0.02313843,0.114569934,0.064406097,0.060800745,0.02313843,0.114569934,0.064406097,0.810035572,0.906512962,0.810035572,0.906512962,0.00164267,0.00164267,0.007831234,0.007831234,,,
4576,0.009995997,0.003234735,0.083330246,0.030218054,0.009995997,0.003234735,0.083330246,0.030218054,0.866812029,0.824378194,0.866812029,0.824378194,0,0,0.000497463,0.000497463,,,
4577,0.310648959,0.00998064,0.449580811,0.035836712,0.310648959,0.00998064,0.449580811,0.035836712,0.83761564,1.031767613,0.83761564,1.031767613,0.006549877,0.006549877,0.244533093,0.244533093,,,
4578,0.051341548,0.025496477,0.080682254,0.04106541,0.051341548,0.025496477,0.080682254,0.04106541,1.222344665,0.963000534,1.222344665,0.963000534,0.009230108,0.009230108,0.034607253,0.034607253,,,
4579,0.053197405,0.039747659,0.063650703,0.047177758,0.053197405,0.039747659,0.063650703,0.047177758,0.602723145,0.614689211,0.602723145,0.614689211,0.064342484,0.064342484,0.149446997,0.149446997,,,
4580,0.040602032,0.019711522,0.089525706,0.028016062,0.040602032,0.019711522,0.089525706,0.028016062,0.550139668,0.541370683,0.550139668,0.541370683,0.084585652,0.084585652,0.152739811,0.152739811,,,
4581,0,0,0.00110998,0.00102196,0.194859848,0.004585363,0.00110998,0.00102196,0.430793414,0.436313038,0.430793414,0.436313038,0.000694781,0.000694781,0.000876591,0.000876591,,,
4582,0.027017221,0.015651027,0.022180504,0.019917322,0.027017221,0.015651027,0.022180504,0.019917322,0.525233808,0.665692398,0.525233808,0.665692398,0.018003577,0.018003577,0.023453785,0.023453785,,,
4583,0.044962201,0.015621101,0.155853759,0.080369517,0.214927937,0.027075347,0.155853759,0.080369517,0.755657318,0.978661354,0.755657318,0.978661354,0.056719236,0.056719236,0.106781178,0.106781178,,,
4584,0.104074011,0.06542065,0.175885498,0.130750403,0.104074011,0.06542065,0.175885498,0.130750403,0.865529526,0.930372501,0.865529526,0.930372501,0.101642117,0.101642117,0.169428925,0.169428925,,,
4585,0.001007323,0.000337172,0.085778823,0.036628403,0.001007323,0.000337172,0.085778823,0.036628403,0.634893006,0.664168738,0.634893006,0.664168738,0.005081786,0.005081786,0.03093904,0.03093904,,,
4586,0.078889054,0.051520105,0.0451871,0.049083278,0.078889054,0.051520105,0.0451871,0.049083278,1.301511479,0.813783151,1.301511479,0.813783151,0,0,0.000266901,0.000266901,,,
4587,0.187727672,0.113299169,0.134092584,0.129229456,0.187727672,0.113299169,0.134092584,0.129229456,0.964171346,1.196332203,0.964171346,1.196332203,0.072376579,0.072376579,0.168108395,0.168108395,,,
4588,0.00098178,0.000302681,0.012897626,0.006700448,0.00098178,0.000302681,0.424724131,0.023230918,0.633187308,0.662867823,0.848474631,0.717863121,0.000114802,0.000114802,0.000843877,0.000843877,,,
4589,0.157386399,0.129631445,0.183266578,0.154035851,0.157386399,0.129631445,0.183266578,0.154035851,0.644969018,1.170643097,0.644969018,1.170643097,0.05947182,0.05947182,0.146248668,0.146248668,,,
4590,0.026674646,0.018951256,0.144049962,0.061152451,0.026674646,0.018951256,0.144049962,0.061152451,0.620730313,0.93284331,0.620730313,0.93284331,0.013016069,0.013016069,0.020347597,0.020347597,,,
4591,0.006679693,0.006605341,0.010064714,0.010189535,0.006679693,0.006605341,0.010064714,0.010189535,0.530331795,0.438033427,0.530331795,0.438033427,0.045120887,0.045120887,0.145584596,0.145584596,0.504785715,0.032796479,0.031999476
4592,0.003116266,0.000686595,0.102907631,0.027919009,0.003116266,0.000686595,0.102907631,0.027919009,0.789982485,0.606766557,0.789982485,0.606766557,0.146005139,0.146005139,0.444787529,0.444787529,0.540997642,0.325987726,0.068638705
4593,0.000199651,0.000138368,0.009013505,0.006778842,0.000199651,0.000138368,0.009013505,0.006778842,0.643347789,0.504297605,0.643347789,0.504297605,0.019577097,0.019577097,0.02313632,0.02313632,0.592168477,0.009036398,0.007866122
4594,0.00017982,0.000253939,0.030610578,0.008793131,0.00017982,0.000253939,0.030610578,0.008793131,0.846307866,0.588231757,0.846307866,0.588231757,0.044495255,0.044495255,0.086147276,0.086147276,0.578702401,0.107056389,0.188890204
