GHUB_ID,precip2015,temp2015,GDP,elevation,biom,soil,climate,capital,riverba,costal,UE_Area,CONTINENT,Country,countr_iso,ucid,pop100,BU100,Vol_tot,Vol_non,gdp2
61,661.3499909,15.83436203,1806266046,217,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,39.46433398,Oceania,Australia,AUS,0,46971.61267,9397778,67988272,6131973,1677344137
62,919.5874328,12.83750343,7019254716,632,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",1,MURRAY,0,107.2409219,Oceania,Australia,AUS,13035,118036.8703,17990098,139676592,21402472,6024655622
63,752.1428833,15.23214245,1657682932,210,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,39.59096493,Oceania,Australia,AUS,0,45082.2751,9289512,65548415,10324090,1552105004
64,714.7121887,19.16561317,484874851.1,344,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Kastanozems,"Mild temperate, fully humid, and  Hot summer",0,MURRAY,0,27.91567985,Oceania,Australia,AUS,0,11447.50318,3875248,25439175,965337,497571146.9
65,1052.328369,16.71548653,2751398558,100,Temperate Broadleaf and Mixed Forests,Phaeozems,"Mild temperate, fully humid, and  Hot summer",0,0,1,49.27922453,Oceania,Australia,AUS,13039,72032.89083,9652077,66805096,4806488,2456800285
66,984.1498718,22.33959961,1487640019,22,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,38.34911703,Oceania,Australia,AUS,0,42331.00552,9931696,76073149,6012899,1358079868
67,1317.534576,20.36943245,2006749799,16,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,39.58125474,Oceania,Australia,AUS,13090,55098.40305,8085106,63277021,4720241,1673267968
68,586.5499878,17.10971642,1898884682,15,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,1,39.65886352,Oceania,Australia,AUS,0,37004.88275,8401774,59801568,10832481,1455428089
69,1158.137421,21.73332405,1644027232,14,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,39.25749087,Oceania,Australia,AUS,0,47879.52905,9303831,63553562,2686452,1085317021
70,457.0624237,16.02918816,1587216901,114,"Temperate Grasslands, Savannas and Shrublands",Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,32.88669188,Oceania,Australia,AUS,0,35626.79065,8191236,56462735,11855047,1146628617
71,637.3143311,14.52858543,1518722225,48,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,27.25639086,Oceania,Australia,AUS,13023,47951.25143,6410980,49532006,4029048,1530481405
72,244.5714798,17.18215752,550968565.3,21,"Mediterranean Forests, Woodlands and Scrub",Calcisols,"Mild temperate with dry summer, and  Hot summer",0,0,1,23.75010319,Oceania,Australia,AUS,0,13954.51557,4156230,24987260,1291053,282358844.2
73,1056.565796,17.99583244,2505092471,33,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,47.25844151,Oceania,Australia,0,13043,68341.75492,8945024,61127049,7322673,1931134281
74,294.8144531,16.43214226,902515364.2,121,Deserts and Xeric Shrublands,Calcisols,"Mild temperate with dry summer, and  Hot summer",0,0,1,28.98267136,Oceania,Australia,AUS,12977,26261.16604,4847535,28882175,566446,761843938
75,757.5428467,22.71072769,2319636407,41,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Planosols,"Mild temperate, fully humid, and  Hot summer",0,FITZROY,1,43.48035363,Oceania,Australia,AUS,0,56955.53458,11286006,88832585,3910419,2072934481
76,469.9285584,14.39524269,977039304.3,50,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,24.69621007,Oceania,Australia,AUS,0,26794.89929,6282572,49609559,1760561,759080836.6
77,822.2495728,17.38335037,1876363.378,119,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,0,24.39408832,Oceania,Australia,AUS,0,4.252866024,14424,36146,0,234722.017
78,541.6714325,21.32500076,2107571.813,151,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Kastanozems,"Mild temperate, fully humid, and  Hot summer",0,FITZROY,0,22.5808321,Oceania,Australia,AUS,0,7.90590274,10179,27439,0,397051.4465
79,767.1284638,22.46072769,1451068735,30,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,64.80521879,Oceania,Australia,AUS,0,36309.55736,7869248,60834472,11259283,1132169792
80,792.4375306,14.77187538,1200321690,240,"Temperate Grasslands, Savannas and Shrublands",Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,25.80468909,Oceania,Australia,AUS,0,28943.1975,6147370,44672295,8405930,1063200120
81,1086.58493,17.93215752,2463820169,29,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,65.90131448,Oceania,Australia,AUS,13047,64671.28729,11679984,85796601,12272591,1830284377
82,909.6999206,12.74404716,4517095144,590,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",0,MURRAY,0,47.02581738,Oceania,Australia,AUS,13036,77166.50137,9363126,68020238,5987344,6348548718
83,0,0,0,0,,,,0,,0,0,Oceania,Australia,AUS,#N/A,0,0,0,0,0
84,508.7286988,17.14762878,649939.375,298,"Mediterranean Forests, Woodlands and Scrub",Arenosols,"Mild temperate with dry summer, and  Hot summer",0,0,0,21.66178467,Oceania,Australia,AUS,0,127.4973801,51356,126140,0,0
85,1315.170319,27.54165649,3533714167,13,"Tropical and Subtropical Grasslands, Savannas and Shrublands",0,0,0,0,1,61.17315763,Oceania,Australia,AUS,0,76078.7032,12628649,96368256,10661935,3340383685
86,670.914322,17.62977219,0,288,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Planosols,"Mild temperate, fully humid, and  Hot summer",0,MURRAY,0,21.96062812,Oceania,Australia,AUS,0,11.49429551,15924,39861,4179,0
87,1317.534576,20.36943245,3012528216,24,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Hot summer",0,0,1,58.50236031,Oceania,Australia,AUS,13090,77490.54916,12502593,100978341,14680850,2618281984
88,825.8123474,22.86664963,989786707.1,11,Tropical and Subtropical Moist Broadleaf Forests,Luvisols,Tropical savannah with dry winter,0,0,1,23.82621127,Oceania,Australia,AUS,0,27419.53253,6391683,50676807,14852464,928271910.9
89,278.3429032,16.09524345,507001831.6,49,"Mediterranean Forests, Woodlands and Scrub",Calcisols,"Mild temperate with dry summer, and  Hot summer",0,MURRAY,1,21.66758464,Oceania,Australia,AUS,0,14623.82436,4234759,25476694,575273,465573963.9
90,949.0856323,12.6238184,1562234980,696,Temperate Broadleaf and Mixed Forests,Planosols,"Mild temperate, fully humid, and  Warm summer",1,MURRAY,0,25.29050747,Oceania,Australia,AUS,13035,37585.54727,5384318,40903747,5125894,1184519128
91,684.3000184,15.01667213,1180761841,884,Temperate Broadleaf and Mixed Forests,Luvisols,"Mild temperate, fully humid, and  Hot summer",0,MURRAY,0,23.87685265,Oceania,Australia,AUS,0,31856.11652,5760922,39368024,5167768,1075219439
