GUB_ID,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b
11534,0.018449066,0.020552984,0.035295443,0.02281601,0.035295443,0.02281601,0.018449066,0.020552984,0.533158815,0.505423275,0.533158815,0.505423275,0.025884297,0.025884297,0.025636227,0.025636227
11535,0.00528989,0.005616996,0.008177078,0.004383477,0.008177078,0.004383477,0.00528989,0.005616996,0.546419962,0.512639619,0.546419962,0.512639619,0,0,0.000622477,0.000622477
11536,0.020507318,0.016197564,0.015193219,0.009042714,0.015193219,0.009042714,0.020507318,0.016197564,0.672014089,0.542461725,0.672014089,0.542461725,0.005434404,0.005434404,0.009547988,0.009547988
11537,0.01412926,0.010825635,0.00920008,0.005527507,0.00920008,0.005527507,0.01412926,0.010825635,0.50851102,0.50966727,0.50851102,0.50966727,0.003907489,0.003907489,0.008115898,0.008115898
11538,0.006711608,0.007802536,0.01091924,0.009737462,0.01091924,0.009737462,0.006711608,0.007802536,0.495181094,0.464038019,0.495181094,0.464038019,0.012636318,0.012636318,0.014213191,0.014213191
11539,0.02378545,0.011251515,0.002305554,0.002485468,0.002305554,0.002485468,0.02378545,0.011251515,0.904806065,0.783973239,0.904806065,0.783973239,0.003168775,0.003168775,0.003430625,0.003430625
11540,0.006931464,0.00337414,0.002314796,0.001557242,0.002314796,0.001557242,0.006931464,0.00337414,0.852087441,0.832623264,0.852087441,0.832623264,0,0,0.000161238,0.000161238
11541,0.009144438,0.009039939,0.010527416,0.009480834,0.010527416,0.009480834,0.009144438,0.009039939,0.716940133,0.536524516,0.716940133,0.536524516,0.023845449,0.023845449,0.016379446,0.016379446
11542,0.058855475,0.055103,0.10413831,0.062217008,0.10413831,0.062217008,0.058855475,0.055103,1.002744508,0.882844521,1.002744508,0.882844521,0.018348319,0.018348319,0.09679109,0.09679109
11543,0.017258753,0.019577619,0.030309699,0.03498162,0.030309699,0.03498162,0.017258753,0.019577619,0.677007699,0.66168601,0.677007699,0.66168601,0.035449043,0.035449043,0.030458104,0.030458104
11544,0.006652495,0.005174039,0.00376799,0.002777393,0.00376799,0.002777393,0.006652495,0.005174039,0.628812868,0.529307403,0.628812868,0.529307403,0.002835405,0.002835405,0.004040767,0.004040767
