areaID,City Name,Country,Region,CBD Latitude,CBD Longitude,Population,BU_area(ha),Urban Built-up Area (ha),Urbanized Open Space  (ha),Urban Extent (ha),Built-up Area Density (persons/ha),Urban Extent Density (persons / ha),Frgmentation: Saturation  (Built-up Area/Urban Extent), Fragmentation: Openness index,Compactness: Proximity index,Compactness: Cohesion index,Share of Built-up Area Occupied by Roads(90-15),the 4-Way Intersection Density (number per km2_90_15 ),Share of Built-up Area That Is Gridded(90_15)
25,Santiago,Chile,Latin America and the Caribbean,-33.491,-70.67,6486535,60381,53985,15727,76108,107,85,0.79,0.15,0.85,0.83,0.18,19.9,0.05
26,Anqing,China,East Asia and the Pacific,30.536,117.05,642626,8779,6077,5964,14742,73,44,0.6,0.35,0.77,0.74,0.25,14.6,0.03
27,Yulin,China,East Asia and the Pacific,22.611,110.139,633381,10753,5833,7340,18093,59,35,0.59,0.41,0.69,0.68,0.15,6.3,0
28,Bijie,China,East Asia and the Pacific,26.68,105.769,117083,673,454,400,1072,174,109,0.63,0.37,0.82,0.81,0.12,2.7,0
29,Zunyi,China,East Asia and the Pacific,27.696,106.925,534107,5569,4204,3105,8674,96,62,0.64,0.33,0.78,0.77,0.17,6.6,0
30,Haikou,China,East Asia and the Pacific,20.028,110.329,1247662,8867,6817,5129,13996,141,89,0.63,0.35,0.85,0.83,0.21,6.8,0
31,Tangshan,China,East Asia and the Pacific,39.648,118.19,2699870,58221,39211,32014,90235,46,30,0.65,0.36,0.7,0.69,0.17,19.5,0
32,Zhengzhou,China,East Asia and the Pacific,34.756,113.637,7156619,137261,96929,73085,210346,52,34,0.65,0.33,0.76,0.76,0.2,16.3,0
33,Wuhan,China,East Asia and the Pacific,30.576,114.295,8174063,102833,63008,80891,183723,79,44,0.56,0.38,0.76,0.75,0.23,23.6,0
34,Yiyang,China,East Asia and the Pacific,28.587,112.356,412685,9951,6473,7353,17304,41,24,0.58,0.37,0.85,0.84,0.16,5.1,0
35,Changzhou,China,East Asia and the Pacific,31.775,119.97,3075746,49226,38358,28475,77700,62,40,0.63,0.31,0.87,0.85,0.27,14.4,0
36,Xucheng,China,East Asia and the Pacific,33.004,118.507,176753,3480,2420,2572,6052,51,29,0.57,0.4,0.92,0.92,0.24,12.6,0
37,Gaoyou,China,East Asia and the Pacific,32.792,119.43,186351,5336,4252,2111,7446,35,25,0.72,0.27,0.83,0.81,0.23,14.5,
38,Pingxiang,China,East Asia and the Pacific,27.643,113.851,757573,15265,7894,15550,30815,50,25,0.5,0.45,0.69,0.7,0.12,26.5,0
39,Xianyang,China,East Asia and the Pacific,34.308,108.463,193390,2728,1289,2794,5522,71,35,0.49,0.47,0.63,0.61,0.17,15,0
40,Jinan,China,East Asia and the Pacific,36.682,117.02,3316828,45089,34839,20999,66087,74,50,0.68,0.27,0.79,0.79,0.22,14.5,0
41,Yanggu,China,East Asia and the Pacific,36.116,115.786,221306,6498,2193,6710,13207,34,17,0.49,0.52,0.76,0.73,0.15,31.9,0
42,Qingdao,China,East Asia and the Pacific,36.22,120.403,4501931,71528,58008,30971,102499,63,44,0.7,0.26,0.8,0.79,0.24,51,0
43,Shanghai,China,East Asia and the Pacific,31.25,121.44,24387272,320046,269340,148826,468872,76,52,0.68,0.25,0.96,0.95,0.22,10.2,0.08
44,Changzhi,China,East Asia and the Pacific,36.192,113.116,822355,11526,7712,8192,19718,71,42,0.58,0.36,0.58,0.61,0.23,22.1,0.03
45,Chengdu,China,East Asia and the Pacific,30.667,104.051,9339734,114992,93115,52688,167680,81,56,0.69,0.25,0.79,0.76,0.21,10.7,0.03
46,Leshan,China,East Asia and the Pacific,29.591,103.754,524838,8391,4909,5680,14070,63,37,0.6,0.41,0.71,0.7,0.18,6,0
47,Suining,China,East Asia and the Pacific,30.524,105.564,439801,1940,1336,1087,3027,227,145,0.64,0.36,0.62,0.64,0.28,15.2,0
48,Yucheng,China,East Asia and the Pacific,28.125,121.247,485305,9112,6861,4567,13679,53,35,0.67,0.34,0.67,0.68,0.2,18.5,0
49,Valledupar,Colombia,Latin America and the Caribbean,10.464,-73.261,392935,2688,2336,937,3625,146,108,0.74,0.22,0.96,0.96,0.26,90.9,0.3
50,Bogota,Colombia,Latin America and the Caribbean,4.644,-74.129,7801693,31895,29663,7828,39723,245,196,0.8,0.16,0.87,0.86,0.23,39.8,0.1
51,Holguín,Cuba,Latin America and the Caribbean,20.883,-76.263,263345,2157,1523,1219,3376,122,78,0.64,0.34,0.88,0.86,0.21,13.6,0
52,Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,-11.677,27.48,1746415,15865,14179,6234,22098,110,79,0.72,0.22,0.96,0.96,0.16,30.3,0
53,Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,-4.374,15.32,10226183,33763,30057,11918,45681,303,224,0.74,0.22,0.79,0.78,0.13,25.4,0.05
54,Quito,Ecuador,Latin America and the Caribbean,-0.135,-78.443,2173697,22665,16057,15643,38308,96,57,0.59,0.34,0.69,0.69,0.22,19.8,0.03
55,Alexandria,Egypt,Western Asia and North Africa,31.152,29.884,4345193,22782,18900,7637,30418,191,143,0.75,0.24,0.41,0.41,0.23,26.4,0
56,Cairo,Egypt,Western Asia and North Africa,30.034,31.282,15734934,93093,74782,43303,136396,169,115,0.68,0.26,0.71,0.69,0.24,30.5,0.08
57,San_Salvador,El Salvador,Latin America and the Caribbean,13.7,-89.201,1693748,16889,14155,6970,23859,100,71,0.71,0.23,0.78,0.75,0.23,28.1,0
58,Addis Abeba,Ethiopia,Sub-Saharan Africa,9.001,38.756,3009130,21133,18483,8495,29628,142,102,0.71,0.24,0.84,0.82,0.22,28.2,0.3
59,Suva,Fiji,East Asia and the Pacific,-18.142,178.441,182140,2846,1962,1876,4722,64,39,0.6,0.4,0.7,0.7,0.13,1.3,0
